E;BKE022508SES00000003;test depot conf;1;BKE02;;;;;;;;;;
L;BKE022508SES00000003;BKE022508INV00000006;1;BKE02;;;;;;;;;;
S;BKE022508SES00000003;BKE022508INV00000006;1000;BKE02;0;0;1;17CH15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;2000;BKE02;0;0;1;17CH15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;3000;BKE02;0;0;1;17CH202/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;4000;BKE02;0;0;1;17CH20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;5000;BKE02;0;0;1;17CR1V07A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;6000;BKE02;0;0;1;17CR1V07GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;7000;BKE02;0;0;1;17CR1V102/6A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;8000;BKE02;0;0;1;17CR1V102/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;9000;BKE02;0;0;1;17CR1V10A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;10000;BKE02;0;0;1;17CR1V10A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;11000;BKE02;0;0;1;17CR1V10B40GAM;;A;UN;58,65;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;12000;BKE02;0;0;1;17CR1V10B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;13000;BKE02;0;0;1;17CR1V10GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;14000;BKE02;0;0;1;17CR1V10L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;15000;BKE02;0;0;1;17CR1V10SODGAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;16000;BKE02;0;0;1;17CR1V12GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;17000;BKE02;0;0;1;17CR1V152/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;18000;BKE02;0;0;1;17CR1V152/6COFGAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;19000;BKE02;0;0;1;17CR1V15A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;20000;BKE02;0;0;1;17CR1V15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;21000;BKE02;0;0;1;17CR1V15ANGA650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;22000;BKE02;0;0;1;17CR1V15ANGLEGAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;23000;BKE02;0;0;1;17CR1V15B40A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;24000;BKE02;0;0;1;17CR1V15B40ANGGAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;25000;BKE02;0;0;1;17CR1V15B40GAM;;A;UN;73,6;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;26000;BKE02;0;0;1;17CR1V15B40L40GAM;;A;UN;0;BKE2;
