E;BKE022508SES00000002;TEST;1;BKE02;;;;;;;;;;
L;BKE022508SES00000002;BKE022508INV00000004;1;BKE02;;;;;;;;;;
L;BKE022508SES00000002;BKE022508INV00000005;1;BKE02;;;;;;;;;;
S;BKE022508SES00000002;BKE022508INV00000004;1000;BKE02;0;0;1;17CH15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;2000;BKE02;0;0;1;17CH15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;3000;BKE02;0;0;1;17CH202/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;4000;BKE02;0;0;1;17CH20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;5000;BKE02;0;0;1;17CR1V07A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;6000;BKE02;0;0;1;17CR1V07GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;7000;BKE02;0;0;1;17CR1V102/6A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;8000;BKE02;0;0;1;17CR1V102/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;9000;BKE02;0;0;1;17CR1V10A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;10000;BKE02;0;0;1;17CR1V10A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;11000;BKE02;0;0;1;17CR1V10B40GAM;;A;UN;58,65;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;12000;BKE02;0;0;1;17CR1V10B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;13000;BKE02;0;0;1;17CR1V10GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;14000;BKE02;0;0;1;17CR1V10L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;15000;BKE02;0;0;1;17CR1V10SODGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;16000;BKE02;0;0;1;17CR1V12GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;17000;BKE02;0;0;1;17CR1V152/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;18000;BKE02;0;0;1;17CR1V152/6COFGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;19000;BKE02;0;0;1;17CR1V15A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;20000;BKE02;0;0;1;17CR1V15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;21000;BKE02;0;0;1;17CR1V15ANGA650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;22000;BKE02;0;0;1;17CR1V15ANGLEGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;23000;BKE02;0;0;1;17CR1V15B40A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;24000;BKE02;0;0;1;17CR1V15B40ANGGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;25000;BKE02;0;0;1;17CR1V15B40GAM;;A;UN;73,6;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;26000;BKE02;0;0;1;17CR1V15B40L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;27000;BKE02;0;0;1;17CR1V15B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;28000;BKE02;0;0;1;17CR1V15COFGAM;;A;UN;349,93026;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;29000;BKE02;0;0;1;17CR1V15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;30000;BKE02;0;0;1;17CR1V15L40B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;31000;BKE02;0;0;1;17CR1V15L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;32000;BKE02;0;0;1;17CR1V20A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;33000;BKE02;0;0;1;17CR1V20ANGA650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;34000;BKE02;0;0;1;17CR1V20ANGLEGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;35000;BKE02;0;0;1;17CR1V20B40A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;36000;BKE02;0;0;1;17CR1V20B40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;37000;BKE02;0;0;1;17CR1V20B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;38000;BKE02;0;0;1;17CR1V20B80A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;39000;BKE02;0;0;1;17CR1V20COFGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;40000;BKE02;0;0;1;17CR1V20GAM;;A;UN;321,27566;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;41000;BKE02;0;0;1;17CR1V20L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;42000;BKE02;0;0;1;17CR1V20SODGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;43000;BKE02;0;0;1;17CR2V152/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;44000;BKE02;0;0;1;17CR2V15ANB60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;45000;BKE02;0;0;1;17CR2V15ANGH25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;46000;BKE02;0;0;1;17CR2V15B40A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;47000;BKE02;0;0;1;17CR2V15B40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;48000;BKE02;0;0;1;17CR2V15B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;49000;BKE02;0;0;1;17CR2V15B80GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;50000;BKE02;0;0;1;17CR2V15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;51000;BKE02;0;0;1;17CR2V15H25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;52000;BKE02;0;0;1;17CR2V202/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;53000;BKE02;0;0;1;17CR2V20ANG2/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;54000;BKE02;0;0;1;17CR2V20ANGA650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;55000;BKE02;0;0;1;17CR2V20ANGGAM;;A;UN;0;BKE2;
